X1,X2,Y
25,-98,0
135,19,1
110,9,1
143,6,1
112,-49,0
49,-35,0
94,-99,0
-41,38,0
99,55,1
-45,90,0
105,-76,0
-50,19,0
-9,24,0
78,-69,0
66,-100,0
3,-9,0
76,-35,0
-24,4,0
80,9,1
97,1,1
65,0,0
-34,-1,0
14,-81,0
77,-86,0
60,57,1
115,-22,0
-3,30,0
3,-16,0
24,63,1
24,92,1
8,83,1
101,-44,0
-27,34,0
41,69,1
59,57,1
-25,-80,0
50,70,1
130,52,1
101,-88,0
95,4,1
1,-18,0
40,100,1
136,-48,0
111,67,1
23,-34,0
-8,86,0
149,3,1
146,-59,0
124,-7,0
22,-86,0
77,-33,0
62,63,1
102,56,1
102,73,1
8,-93,0
54,-22,0
49,31,1
29,-24,0
91,-86,0
-27,17,0
113,-61,0
27,-100,0
56,16,1
77,79,1
140,-32,0
4,50,1
29,8,1
107,-43,0
68,5,1
-27,65,0
-35,61,0
57,-13,0
-47,1,0
75,98,1
77,-42,0
-12,70,0
150,-19,0
-42,21,0
-13,-59,0
33,4,1
85,95,1
19,5,1
-21,-92,0
99,-6,0
-17,-60,0
9,-2,0
-18,-8,0
142,78,1
25,-57,0
75,-15,0
11,82,1
14,89,1
39,-39,0
65,65,1
126,89,1
-13,78,0
28,5,1
42,-33,0
110,56,1
