X1,X2,Y
40,89,0
1,27,0
60,63,1
79,52,1
88,63,1
12,42,0
74,100,1
36,38,0
98,68,1
89,42,1
31,29,0
25,17,0
73,86,1
100,80,1
32,42,0
59,64,1
18,9,0
24,57,0
21,93,0
38,50,0
97,1,1
64,90,1
21,57,0
82,12,1
25,79,0
94,43,1
7,26,0
3,66,0
36,28,0
20,13,0
5,30,0
10,85,0
14,6,0
36,95,0
66,17,1
65,91,1
38,4,0
7,44,0
71,100,1
47,17,0
53,22,1
32,22,0
59,76,1
68,90,1
65,71,1
60,99,1
40,8,0
78,99,1
28,92,0
25,25,0
71,20,1
17,71,0
90,28,1
81,98,1
60,10,1
97,96,1
27,25,0
66,85,1
9,83,0
25,21,0
95,90,1
74,58,1
26,81,0
92,31,1
58,34,1
76,30,1
7,82,0
24,89,0
18,79,0
1,12,0
53,14,1
36,67,0
28,60,0
58,85,1
83,89,1
52,6,1
51,37,1
43,29,0
92,25,1
63,69,1
38,100,0
26,90,0
36,70,0
62,37,1
96,62,1
2,82,0
59,56,1
16,79,0
64,94,1
14,57,0
100,79,1
8,72,0
30,74,0
75,94,1
39,82,0
14,7,0
37,67,0
72,7,1
62,38,1
