X1,X2,Y
95,11,1
93,25,1
98,53,1
44,44,0
77,4,1
98,32,1
78,81,1
53,89,1
13,51,1
61,36,1
51,61,1
35,9,1
38,22,0
75,95,1
30,39,0
52,43,0
31,59,0
58,15,1
67,36,1
27,5,1
0,32,1
57,83,1
31,48,0
23,9,1
65,0,1
57,42,0
49,38,0
23,37,0
30,75,1
36,36,0
9,76,1
1,55,1
46,29,0
47,44,0
32,90,1
60,94,1
79,35,1
26,59,0
46,0,1
44,74,1
91,7,1
60,46,0
93,50,1
32,18,1
8,78,1
2,18,1
67,53,1
76,92,1
17,3,1
11,25,1
40,18,1
59,84,1
52,29,0
51,58,0
89,78,1
18,100,1
67,75,1
94,74,1
39,67,1
97,15,1
97,32,1
40,90,1
68,73,1
92,33,1
74,1,1
84,96,1
72,44,1
71,21,1
45,51,0
55,60,0
14,16,1
86,98,1
90,40,1
78,93,1
64,88,1
90,12,1
76,88,1
24,2,1
33,69,1
59,6,1
59,83,1
49,15,1
3,42,1
24,16,1
4,57,1
43,8,1
19,22,1
1,84,1
11,68,1
79,79,1
47,77,1
15,22,1
34,7,1
89,95,1
40,50,0
72,39,1
5,76,1
34,70,1
81,38,1
